carrier,flight_number,total_fare,currency,travel_date,collector
6E,6E6282,6432.00,INR,2026-10-05,playwright_network
6E,6E882,6432.00,INR,2026-10-05,playwright_network
6E,6E717,6432.00,INR,2026-10-05,playwright_network
6E,6E6212,6432.00,INR,2026-10-05,playwright_network
6E,6E357,6510.00,INR,2026-10-05,playwright_network
6E,6E6676,6530.00,INR,2026-10-05,playwright_network
6E,6E324,6530.00,INR,2026-10-05,playwright_network
6E,6E322,6530.00,INR,2026-10-05,playwright_network
6E,6E864,6530.00,INR,2026-10-05,playwright_network
6E,6E6318,6530.00,INR,2026-10-05,playwright_network
6E,6E6047,6530.00,INR,2026-10-05,playwright_network
QP,QP1110,6530.00,INR,2026-10-05,playwright_network
QP,QP1128,6530.00,INR,2026-10-05,playwright_network
QP,QP1820,6530.00,INR,2026-10-05,playwright_network
6E,6E6114,6530.00,INR,2026-10-05,playwright_network
QP,QP1826,6530.00,INR,2026-10-05,playwright_network
6E,6E6022,6530.00,INR,2026-10-05,playwright_network
6E,6E6107,6530.00,INR,2026-10-05,playwright_network
6E,6E853,6688.00,INR,2026-10-05,playwright_network
6E,6E327,6688.00,INR,2026-10-05,playwright_network
6E,6E354,6688.00,INR,2026-10-05,playwright_network
SG,SG2802,7085.00,INR,2026-10-05,playwright_network
6E,6E303,6898.00,INR,2026-10-05,playwright_network
6E,6E675,6898.00,INR,2026-10-05,playwright_network
6E,6E395,7160.00,INR,2026-10-05,playwright_network
QP,QP1833,7366.00,INR,2026-10-05,playwright_network
6E,6E449,7475.00,INR,2026-10-05,playwright_network
6E,6E6218,7475.00,INR,2026-10-05,playwright_network
6E,6E353,7475.00,INR,2026-10-05,playwright_network
QP,QP1119,7501.00,INR,2026-10-05,playwright_network
6E,6E931,7650.00,INR,2026-10-05,playwright_network
6E,6E5073,7650.00,INR,2026-10-05,playwright_network
6E,6E6814,7790.00,INR,2026-10-05,playwright_network
6E,6E6328,7790.00,INR,2026-10-05,playwright_network
IX,IX1081,8139.00,INR,2026-10-05,playwright_network
IX,IX1273,8139.00,INR,2026-10-05,playwright_network
IX,IX1067,8139.00,INR,2026-10-05,playwright_network
6E,6E758,7860.00,INR,2026-10-05,playwright_network
6E,6E6171,8276.00,INR,2026-10-05,playwright_network
6E,6E2076,8276.00,INR,2026-10-05,playwright_network
6E,6E6983,8276.00,INR,2026-10-05,playwright_network
6E,6E329,8578.00,INR,2026-10-05,playwright_network
6E,6E6706,8578.00,INR,2026-10-05,playwright_network
6E,6E320,8578.00,INR,2026-10-05,playwright_network
6E,6E5073,8964.00,INR,2026-10-05,playwright_network
6E,6E5298,9174.00,INR,2026-10-05,playwright_network
6E,6E2113,9174.00,INR,2026-10-05,playwright_network
6E,6E358,9384.00,INR,2026-10-05,playwright_network
6E,6E2349,9688.00,INR,2026-10-05,playwright_network
AI,AI2499,10156.00,INR,2026-10-05,playwright_network
IX,IX1064,10870.00,INR,2026-10-05,playwright_network
IX,IX1082,10895.00,INR,2026-10-05,playwright_network
IX,IX1817,10895.00,INR,2026-10-05,playwright_network
IX,IX1049,11735.00,INR,2026-10-05,playwright_network
AI,AI9757,11857.00,INR,2026-10-05,playwright_network
6E,6E2381,11810.00,INR,2026-10-05,playwright_network
IX,IX1812,12222.00,INR,2026-10-05,playwright_network
IX,IX2749,13383.00,INR,2026-10-05,playwright_network
AI,AI9674,13697.00,INR,2026-10-05,playwright_network
6E,6E6021,13930.00,INR,2026-10-05,playwright_network
IX,IX1076,14460.00,INR,2026-10-05,playwright_network
IX,IX1782,14367.00,INR,2026-10-05,playwright_network
AI,AI2545,14293.00,INR,2026-10-05,playwright_network
AI,AI531,14293.00,INR,2026-10-05,playwright_network
AI,AI809,14293.00,INR,2026-10-05,playwright_network
AI,AI2939,14293.00,INR,2026-10-05,playwright_network
IX,IX1108,15287.00,INR,2026-10-05,playwright_network
6E,6E704,15814.00,INR,2026-10-05,playwright_network
6E,6E705,15932.00,INR,2026-10-05,playwright_network
IX,IX1068,16651.00,INR,2026-10-05,playwright_network
IX,IX1059,17237.00,INR,2026-10-05,playwright_network
IX,IX1815,17320.00,INR,2026-10-05,playwright_network
IX,IX1783,17657.00,INR,2026-10-05,playwright_network
IX,IX1812,17808.00,INR,2026-10-05,playwright_network
IX,IX1057,18077.00,INR,2026-10-05,playwright_network
IX,IX1049,18194.00,INR,2026-10-05,playwright_network
IX,IX1108,19168.00,INR,2026-10-05,playwright_network
IX,IX1811,19199.00,INR,2026-10-05,playwright_network
AI,AI427,19906.00,INR,2026-10-05,playwright_network
AI,AI2653,21384.00,INR,2026-10-05,playwright_network
AI,AI9584,22935.00,INR,2026-10-05,playwright_network
AI,AI9418,25694.00,INR,2026-10-05,playwright_network
